,t,xh,yh,zh,vxh,vyh,vz
0,0.0,1.1890280518125379e-05,1.000147336699322,-1.7175601234661634e-18,-0.9966114553945484,0.08042308564201249,2.403057674590757e-05
1,365250.0,0.000146768775562875,1.0000211608971168,-1.1145514244165444e-12,-0.14313315544807725,0.9895491603650108,0.0022722409947110176
2,730500.0,0.00014244389429188847,1.0000264896737674,1.1012452485445316e-11,-0.17919375305224608,0.9836539855323374,0.004503214731602115
3,1095750.0,0.00013876366896486516,1.0000323137061709,2.460951277599505e-11,-0.21859230676803476,0.9756438336861539,0.006695381916651802
4,1461000.0,0.00016036122049418102,1.0000381744843396,-8.787029091368175e-11,-0.2581332024857308,0.9659151097540996,0.008844061513899278
5,1826250.0,0.0001563576160137077,1.0000439787577535,-8.15918723806075e-11,-0.2974004595741683,0.9545330232671982,0.01094670507114767
6,2191500.0,8.460405925867002e-05,1.000049771161088,3.0557617395080635e-10,-0.33676767606376584,0.9413414029819696,0.013000169521225069
7,2556750.0,0.00011070745962628653,1.0000554812415314,1.5169867807372793e-10,-0.3752707616776658,0.9266362558080065,0.014997350458683611
8,2922000.0,0.00025279118910051323,1.0000610761936197,-6.949727589852401e-10,-0.4128154742229242,0.9104943671944495,0.01694074361397859
9,3287250.0,0.00015898549253305172,1.0000665789097494,-1.6083321989838937e-10,-0.4501685487475451,0.892577547515215,0.018822741653119934
10,3652500.0,-8.6898493091596e-05,1.0000719312225235,1.2975523119308388e-09,-0.48691945119823643,0.8730336241478868,0.020644688768601337
11,4017750.0,0.00011764500612546881,1.000077223131547,5.076640268850982e-11,-0.5221569070500665,0.8523833625813791,0.022404197474058855
12,4383000.0,0.000465856712898443,1.000082309595866,-2.0692131222108097e-09,-0.5564233384537837,0.8303713263423674,0.02409732464935859
13,4748250.0,7.455618654313268e-05,1.0000873636638064,2.6901958187176405e-10,-0.5907200861060365,0.8062813480038115,0.02572125764086772
14,5113500.0,-0.00037616807241729294,1.0000920915632363,2.9457857494265938e-09,-0.62397359566081,0.7807796469032835,0.027276926158437974
15,5478750.0,0.00025641600281686857,1.0000968961282148,-8.616659886904562e-10,-0.6549387517530292,0.7549399893167287,0.028762186143234933
16,5844000.0,0.000765355398036975,1.0001012250268229,-3.883735184404407e-09,-0.6850672439863442,0.7276515492790728,0.03017702140452172
17,6209250.0,-0.00018992129501679361,1.0001057613210906,1.714202131304411e-09,-0.7154243610982587,0.6977655750070543,0.031518218258641484
18,6574500.0,-0.0007076888253808782,1.0001096601844337,4.662608490833227e-09,-0.7440431753323574,0.6671046984699678,0.032781472979081995
19,6939750.0,0.0006026148287330957,1.000113846572622,-2.9030605216983866e-09,-0.7699615029516926,0.6369544634466892,0.03396874480032579
20,7305000.0,0.0010375112887540904,1.0001173277391229,-5.339531087771484e-09,-0.7953748871135861,0.6048578762368371,0.035079399993881336
21,7670250.0,-0.0006779253732096518,1.000121083540472,4.229630076649398e-09,-0.8207270115775964,0.5699178225230964,0.03610984682370062
22,8035500.0,-0.0009463345176547417,1.000124243547768,5.599094180346114e-09,-0.8437457370654967,0.5351851185140658,0.03705908109987225
23,8400750.0,0.001153622197849176,1.0001273763570095,-5.791516871278469e-09,-0.864185996201136,0.5014470506529187,0.0379227905545499
24,8766000.0,0.0011290197374880931,1.0001303677313436,-5.583499621519848e-09,-0.8842957468910005,0.46500328865677354,0.038702504461786774
25,9131250.0,-0.0013392220522316703,1.000132692530523,7.2402748211233016e-09,-0.9038072460581102,0.42577490527603845,0.03939666838812593
26,9496500.0,-0.000950458740467293,1.0001356893671562,5.0959154790151336e-09,-0.9206340682507466,0.387989483165461,0.04000477699936559
27,9861750.0,0.0018052372383247325,1.0001369542439837,-8.669426358557396e-09,-0.9352667065849385,0.35119492159450605,0.040524093613278966
28,10227000.0,0.0009161000680778699,1.0001401689940368,-4.202219500693856e-09,-0.9494471427477924,0.31076953710896554,0.040954716359298544
29,10592250.0,-0.002026198955248699,1.000140227614009,9.732156957681873e-09,-0.962340386537767,0.26814266337683274,0.04129411981890913
30,10957500.0,-0.0006377279976207639,1.0001436992167734,3.0816409623879685e-09,-0.9725933282752516,0.22812210608939784,0.041544709682020405
31,11322750.0,0.0023759352373645673,1.0001424818264124,-1.0483796533443405e-08,-0.9810238637827063,0.18856270263943672,0.04170645321529726
32,11688000.0,0.00037085309900325295,1.0001462326742177,-1.5156837176127318e-09,-0.9884297287801633,0.1447965496193214,0.04177737135315699
33,12053250.0,-0.0025359649586915133,1.000143829922153,1.0733249102570432e-08,-0.9939671141915081,0.09995612234349831,0.041755994675870975
34,12418500.0,-3.5420111886013085e-05,1.0001475962446902,1.7954756328236768e-10,-0.9972798149565851,0.05833021740506038,0.041643815532323186
35,12783750.0,0.0026668881312405957,1.000144283937822,-1.0502247286145e-08,-0.9988581181287077,0.016361713514707547,0.041439604115034924
36,13149000.0,-0.0003803233404764273,1.000147711574212,1.5198017038984358e-09,-0.99857942165438,0.02916393353519707,0.04114714859406526
37,13514250.0,-0.0024220429575936343,1.0001444830213309,9.805758157163254e-09,-0.9964055828714733,0.07225187017716367,0.04076256056898627
38,13879500.0,0.0006392390133997642,1.000146605883392,-2.5529400715363624e-09,-0.9919302026563324,0.11897628936890993,0.04028701331920365
39,14244750.0,0.002104012976435691,1.000143689265109,-8.691832012524074e-09,-0.9853647884867697,0.16486508889613927,0.03972031942267041
40,14610000.0,-0.000857888383504125,1.0001441985427824,3.775601006457107e-09,-0.9772536571074874,0.20773425425177477,0.039064000594820555
