,t,a,e,I,lon_asc_node,true_anom,arg_peri
0,0.0,16.165177074798137,0.9996616660751,0.2995733336411904,1.216696328412702,5.940915031756672e-05,0.018124193012826317
1,365250.0,17.00536281537742,0.9996776705292507,0.29947221149277203,1.218280751779921,6.96161515272435e-05,-0.004218765651070462
2,730500.0,17.792341888640586,0.9996899558167078,0.298708597213516,1.2200168076310203,7.332868055147521e-05,-0.021190052922525956
3,1095750.0,18.53881600439849,0.9997037647959441,0.2996140542127791,1.2201609616112667,7.323467921721582e-05,-0.03509791864716637
4,1461000.0,19.250954673782484,0.9997164201887208,0.29991065520449234,1.2208950045359506,7.298526763948048e-05,-0.0466726763686791
5,1826250.0,20.011924374683908,0.9997253760248872,0.29902229446078654,1.2244334318609225,7.10824691953409e-05,-0.05708328261435853
6,2191500.0,20.839922951275494,0.9997353479914144,0.29938656887638426,1.2246836143555617,6.566870729495773e-05,-0.06691234225254251
7,2556750.0,21.667442974630887,0.9997478430766837,0.29990149387088544,1.2242529774728321,5.9025339941167485e-05,-0.07534391638870196
8,2922000.0,22.542141402294746,0.9997573562213058,0.29936098906643577,1.2296710333183238,5.110229860034477e-05,-0.08197231412213773
9,3287250.0,23.385707919646684,0.9997639493538063,0.29938882826062246,1.2315999440815228,3.936867582594707e-05,-0.08625041775381057
10,3652500.0,24.06785118199492,0.9997719772883416,0.29942858595741684,1.228735640850152,2.362361553326534e-05,-0.0868963225728308
11,4017750.0,24.446246962437776,0.9997774591644933,0.2996914629629652,1.2346315034451953,7.664506479148145e-06,-0.08299151816953869
12,4383000.0,24.387065523166463,0.999775758404615,0.3001094947756909,1.237733024281612,9.441886160629904e-06,-0.0740373907426875
13,4748250.0,23.831453142149844,0.9997692573553295,0.29922522037677707,1.2350290190512583,2.867579155110727e-05,-0.05934614415143774
14,5113500.0,22.761670604953117,0.9997606010954497,0.2997521797048115,1.237789065179414,4.685452846019037e-05,-0.039111847216532845
15,5478750.0,21.275844532736464,0.9997447145457458,0.30067203026650124,1.239740191988735,6.090360047679924e-05,-0.01342955101285471
16,5844000.0,19.539216829047906,0.9997195479064124,0.29945779328126204,1.2407887806499693,7.050241973796523e-05,0.01649745663937739
17,6209250.0,17.77670702350622,0.999690426443765,0.2994582870810985,1.2423049101461956,7.262336967186147e-05,0.04745945725160501
18,6574500.0,16.312565679011822,0.9996640822515502,0.3000169383897598,1.2420045620725246,6.223418522045434e-05,0.07286278574729796
19,6939750.0,15.352953191614619,0.999643995538558,0.29980253224123243,1.2453067019308954,4.0532777755562615e-05,0.08596747148038349
20,7305000.0,14.913926865154194,0.9996311076409726,0.29985560193610145,1.2481262750355597,1.5081599203759434e-05,0.08560329158228902
21,7670250.0,14.866951780746959,0.9996290450536105,0.29960485185936336,1.246736515878531,7.85247170979613e-06,0.07558198146579193
22,8035500.0,15.081228668287224,0.999636420967508,0.299749293749025,1.2486831220495413,2.791181070609198e-05,0.060110552500540634
23,8400750.0,15.457419107576426,0.9996459657549832,0.3004386758895968,1.251834553028881,4.443554401780289e-05,0.04311613340220255
24,8766000.0,15.953153479357569,0.9996546433011294,0.29978312665307144,1.2520498180365307,5.627731711598539e-05,0.025646207705837323
25,9131250.0,16.58066022569006,0.9996677307954498,0.299634050748773,1.253192572179723,6.421511374549458e-05,0.007246780182670801
26,9496500.0,17.339270784033914,0.9996846479306886,0.30064128672680346,1.254432996986223,7.004046312065466e-05,-0.01160601795416251
27,9861750.0,18.30877386463659,0.9997004557226236,0.29996087523519854,1.2564446810269967,7.380715996489343e-05,-0.03135072734629248
28,10227000.0,19.50337860343293,0.9997169717105641,0.29942512044431746,1.2594072081727556,7.202467044357617e-05,-0.050789311380975304
29,10592250.0,20.79827185339813,0.9997358580108918,0.3002993184823653,1.2588751055137029,6.464795847488515e-05,-0.06755771767149955
30,10957500.0,22.118420901694943,0.9997535860975686,0.30013291583292245,1.2612955259786718,5.424909850635722e-05,-0.07981187662558233
31,11322750.0,23.267867442251006,0.9997644278642855,0.2999182804858791,1.2666198052516706,4.03585216903704e-05,-0.08638425514877376
32,11688000.0,24.095852936229967,0.9997714556104843,0.3000610153394915,1.264715803280854,2.225875079431133e-05,-0.08701445573830496
33,12053250.0,24.441985537327923,0.9997770868075329,0.30002696359337805,1.2650200961437308,3.168047588618845e-06,-0.08174413929227836
34,12418500.0,24.28615933109308,0.9997763524932419,0.30074683280190634,1.2703299777224408,1.4548750956472039e-05,-0.0712261475277547
35,12783750.0,23.623484630953946,0.9997677905070917,0.30035468113559927,1.2697134664542526,3.2578718965587544e-05,-0.05528128153925225
36,13149000.0,22.548191414426984,0.9997561319010467,0.29953942507287207,1.2697359347363109,5.0020630997391055e-05,-0.03487127303673264
37,13514250.0,21.187364541181378,0.9997423628373294,0.3006962687957368,1.2722396797005824,6.282846279200055e-05,-0.011383425967246948
38,13879500.0,19.758200201102646,0.9997230972356751,0.30053618103068214,1.2734205830112588,7.000086038355178e-05,0.013402388666800434
39,14244750.0,18.406646471521615,0.9997001070403854,0.2994878401075475,1.276127759951575,7.302796079342925e-05,0.03707212891593439
40,14610000.0,17.292434825861623,0.9996814060794912,0.3002568644408659,1.2765408913044083,7.08600189151674e-05,0.057007001446804935
41,14975250.0,16.403803018065165,0.9996663493731354,0.3005475365409942,1.2769433437531421,6.240439320941846e-05,0.07220219854163494
42,15340500.0,15.763437455108813,0.9996516864530949,0.30013910608252414,1.2810791642296488,5.074932313665494e-05,0.08181027295147704
