,t,a,e,I,lon_asc_node,true_anom,arg_peri
0,0.0,0.3592660478192305,0.9997020831947888,0.059248150192199714,1.3376918218997695,4.9136713156631536e-08,0.0028257823300623887
1,365250.0,0.36401426079981647,0.9997059650185832,0.0590387878635338,1.2886928692290143,8.934768822029252e-08,-0.0028468525166812776
2,730500.0,0.35957751146848954,0.9997023358343874,0.058717948582234974,1.2392388985939342,1.1811690501074703e-07,0.0028514781840559516
3,1095750.0,0.36370188692627353,0.9997057070261611,0.05828593881673403,1.1891937308785738,1.4206413976831375e-07,-0.002851098522814631
4,1461000.0,0.3598712482931223,0.9997025770108917,0.057744507806478246,1.1385622443111918,1.6277784021986414e-07,0.002831491977119166
5,1826250.0,0.36345410192240396,0.9997055067832286,0.05709923771944277,1.0873460440394571,1.5528165799273045e-07,-0.0028085674686918346
6,2191500.0,0.3600908400976978,0.9997027571430968,0.05634552342631017,1.0354044930479764,1.407432048940614e-07,0.0027664610893991005
7,2556750.0,0.3632398719969502,0.9997053295352761,0.05548700074219894,0.9828206176093436,1.0978606476097692e-07,-0.0027191379519413833
8,2922000.0,0.36028159785153896,0.9997029137064093,0.05453419602349006,0.929439703358449,9.635301934721606e-08,0.002656567679835762
9,3287250.0,0.363097343838061,0.9997052152181054,0.05348473915630731,0.8752604827830033,7.188135949202074e-08,-0.0025874403420982394
10,3652500.0,0.36038665791924906,0.9997029961985151,0.05234446971404401,0.8201695706289416,3.6890063867977887e-08,0.0025060676525284586
11,4017750.0,0.36301178835552944,0.999705146686943,0.05111761991417175,0.7640361703046894,4.688628884488109e-09,-0.002417202568515776
12,4383000.0,0.36046315317737204,0.999703060735075,0.04980320897592406,0.7067829147462975,2.7008310734060873e-08,0.0023195915275656424
13,4748250.0,0.36295816603539977,0.9997051008438189,0.04841114889243857,0.6484251931867484,4.963038395995164e-08,-0.002214194395432494
14,5113500.0,0.360471091830689,0.9997030671093337,0.04694944102714716,0.5886699481072089,8.130152906833896e-08,0.0021036397023919185
15,5478750.0,0.3629790136607626,0.9997051185662876,0.04541768022037898,0.5273908375175442,1.082035341498814e-07,-0.001986486165093131
16,5844000.0,0.36046368375130583,0.999703061607464,0.04382343575605021,0.4643520890063503,1.3068787602142645e-07,0.0018660771681255834
17,6209250.0,0.3629942088751874,0.999705132301572,0.04217265477344997,0.3993189001213938,1.3546350043781734e-07,-0.0017414231901612743
18,6574500.0,0.36040709913450963,0.9997030128619088,0.040470323117007836,0.3321806357036863,1.3558176934721078e-07,0.0016151507968441756
19,6939750.0,0.36306304043370546,0.9997051900696095,0.038732343377648235,0.2625034144464303,1.3309102250194202e-07,-0.0014879321686132793
20,7305000.0,0.36035835869536437,0.9997029734675513,0.036958026016405694,0.18969908389310877,1.387180403360561e-07,0.0013607880500190598
21,7670250.0,0.36310499080386166,0.9997052216703542,0.035163486641981566,0.11357897448659944,1.172724621354457e-07,-0.00123531712777685
22,8035500.0,0.36030469883575755,0.999702931002539,0.0333589937280617,0.03342854552919674,8.615264340826003e-08,0.0011121680778890205
23,8400750.0,0.36316304795836685,0.9997052696929936,0.03155204918032514,-0.05138472433381404,6.157024889127647e-08,-0.0009927656882716311
24,8766000.0,0.36025127133554047,0.9997028830060761,0.029762210497166642,-0.1415636001102612,4.0334989369382085e-08,0.0008777828818431739
25,9131250.0,0.3631919220370059,0.9997052942231095,0.028013394914749974,-0.23806473807950393,2.3433975246708396e-09,-0.0007691234316396386
26,9496500.0,0.36024284897177306,0.999702877680318,0.02631564654912049,-0.34201214393841006,5.44790912670673e-08,0.0006667510455176588
27,9861750.0,0.36320545438814145,0.9997053058483348,0.024697086102796334,-0.45438045326408955,1.0501976290328157e-07,-0.0005716349554306219
